id	sbml_type	annotation_type	entity	qualifier	collection	info
^H(\d)+__NDKU$	reaction	RDF	R00156	BQB_IS	kegg.reaction	
^H(\d)+__NDKU$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^H(\d)+__NDKU$	reaction	SBO	SBO:0000176			biochemical reaction
						
						
^H(\d)+__NADPR$	reaction	RDF	1.1.1.49	BQB_IS	ec-code	
^H(\d)+__NADPR$	reaction	RDF	15844	BQB_IS	rhea	
^H(\d)+__NADPR$	reaction	RDF	R00835	BQB_IS	kegg.reaction	
^H(\d)+__NADPR$	reaction	RDF	P11413	BQB_IS	uniprot	
^H(\d)+__NADPR$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^H(\d)+__NADPR$	reaction	SBO	SBO:0000176			biochemical reaction
						
						
^H(\d)+__ATPS$	reaction	RDF	SBO:0000205	BQB_IS	biomodels.sbo	composite biochemical process
^H(\d)+__ATPS$	reaction	SBO	SBO:0000205			composite biochemical process
						
^H(\d)+__GLY$	reaction	RDF	SBO:0000205	BQB_IS	biomodels.sbo	composite biochemical process
^H(\d)+__GLY$	reaction	SBO	SBO:0000205			composite biochemical process
						
^H(\d)+__GTFGAL$	reaction	RDF	SBO:0000205	BQB_IS	biomodels.sbo	composite biochemical process
^H(\d)+__GTFGAL$	reaction	SBO	SBO:0000205			composite biochemical process
						
^H(\d)+__GTFGLC$	reaction	RDF	SBO:0000205	BQB_IS	biomodels.sbo	composite biochemical process
^H(\d)+__GTFGLC$	reaction	SBO	SBO:0000205			composite biochemical process
						
^[HSD](\d)+__glc$	species	RDF	CHEBI%3A4167	BQB_IS	obo.chebi	
^[HSD](\d)+__glc$	species	RDF	C00031	BQB_IS	kegg.compound	
^[HSD](\d)+__glc$	species	RDF	SBO:0000299	BQB_IS	biomodels.sbo	metabolite
^[HSD](\d)+__glc$	species	SBO	SBO:0000299			metabolite
						
^[HSD](\d)+__gal$	species	RDF	CHEBI%3A4139	BQB_IS	obo.chebi	
^[HSD](\d)+__gal$	species	RDF	C00124	BQB_IS	kegg.compound	
^[HSD](\d)+__gal$	species	RDF	SBO:0000299	BQB_IS	biomodels.sbo	metabolite
^[HSD](\d)+__gal$	species	SBO	SBO:0000299			metabolite
^[HSD](\d)+__galM$ 	species	RDF	CHEBI%3A4139	BQB_IS	obo.chebi	
^[HSD](\d)+__galM$ 	species	RDF	C00124	BQB_IS	kegg.compound	
^[HSD](\d)+__galM$ 	species	RDF	SBO:0000299	BQB_IS	biomodels.sbo	metabolite
^[HSD](\d)+__galM$ 	species	SBO	SBO:0000299			metabolite
						
^H(\d)+__glc1p$	species	RDF	CHEBI%3A58601	BQB_IS	obo.chebi	
^H(\d)+__glc1p$	species	RDF	C00103	BQB_IS	kegg.compound	
^H(\d)+__glc1p$	species	RDF	SBO:0000299	BQB_IS	biomodels.sbo	metabolite
^H(\d)+__glc1p$	species	SBO	SBO:0000299			metabolite
						
^H(\d)+__glc6p$	species	RDF	CHEBI%3A58225	BQB_IS	obo.chebi	
^H(\d)+__glc6p$	species	RDF	C00668	BQB_IS	kegg.compound	
^H(\d)+__glc6p$	species	RDF	SBO:0000299	BQB_IS	biomodels.sbo	metabolite
^H(\d)+__glc6p$	species	SBO	SBO:0000299			metabolite
						
^H(\d)+__gal1p$	species	RDF	CHEBI%3A58336	BQB_IS	obo.chebi	
^H(\d)+__gal1p$	species	RDF	C00446	BQB_IS	kegg.compound	
^H(\d)+__gal1p$	species	RDF	SBO:0000299	BQB_IS	biomodels.sbo	metabolite
^H(\d)+__gal1p$	species	SBO	SBO:0000299			metabolite
						
^H(\d)+__udpglc$	species	RDF	CHEBI%3A58885	BQB_IS	obo.chebi	
^H(\d)+__udpglc$	species	RDF	C00029	BQB_IS	kegg.compound	
^H(\d)+__udpglc$	species	RDF	SBO:0000299	BQB_IS	biomodels.sbo	metabolite
^H(\d)+__udpglc$	species	SBO	SBO:0000299			metabolite
						
^H(\d)+__udpgal$	species	RDF	CHEBI%3A66914	BQB_IS	obo.chebi	
^H(\d)+__udpgal$	species	RDF	C00052	BQB_IS	kegg.compound	
^H(\d)+__udpgal$	species	RDF	SBO:0000299	BQB_IS	biomodels.sbo	metabolite
^H(\d)+__udpgal$	species	SBO	SBO:0000299			metabolite
						
^H(\d)+__galtol$	species	RDF	CHEBI%3A16813	BQB_IS	obo.chebi	
^H(\d)+__galtol$	species	RDF	C01697	BQB_IS	kegg.compound	
^H(\d)+__galtol$	species	RDF	SBO:0000299	BQB_IS	biomodels.sbo	metabolite
^H(\d)+__galtol$	species	SBO	SBO:0000299			metabolite
						
^H(\d)+__atp$	species	RDF	CHEBI%3A30616	BQB_IS	obo.chebi	
^H(\d)+__atp$	species	RDF	C00002	BQB_IS	kegg.compound	
^H(\d)+__atp$	species	RDF	SBO:0000299	BQB_IS	biomodels.sbo	metabolite
^H(\d)+__atp$	species	SBO	SBO:0000299			metabolite
						
^H(\d)+__adp$	species	RDF	CHEBI%3A456216	BQB_IS	obo.chebi	
^H(\d)+__adp$	species	RDF	C00008	BQB_IS	kegg.compound	
^H(\d)+__adp$	species	RDF	SBO:0000299	BQB_IS	biomodels.sbo	metabolite
^H(\d)+__adp$	species	SBO	SBO:0000299			metabolite
						
^H(\d)+__utp$	species	RDF	CHEBI%3A46398	BQB_IS	obo.chebi	
^H(\d)+__utp$	species	RDF	C00075	BQB_IS	kegg.compound	
^H(\d)+__utp$	species	RDF	SBO:0000299	BQB_IS	biomodels.sbo	metabolite
^H(\d)+__utp$	species	SBO	SBO:0000299			metabolite
						
^H(\d)+__udp$	species	RDF	CHEBI%3A58223	BQB_IS	obo.chebi	
^H(\d)+__udp$	species	RDF	C00015	BQB_IS	kegg.compound	
^H(\d)+__udp$	species	RDF	SBO:0000299	BQB_IS	biomodels.sbo	metabolite
^H(\d)+__udp$	species	SBO	SBO:0000299			metabolite
						
^H(\d)+__phos$	species	RDF	CHEBI%3A43474	BQB_IS	obo.chebi	
^H(\d)+__phos$	species	RDF	C00009	BQB_IS	kegg.compound	
^H(\d)+__phos$	species	RDF	SBO:0000299	BQB_IS	biomodels.sbo	metabolite
^H(\d)+__phos$	species	SBO	SBO:0000299			metabolite
						
^H(\d)+__ppi$	species	RDF	CHEBI%3A33019	BQB_IS	obo.chebi	
^H(\d)+__ppi$	species	RDF	C00013	BQB_IS	kegg.compound	
^H(\d)+__ppi$	species	RDF	SBO:0000299	BQB_IS	biomodels.sbo	metabolite
^H(\d)+__ppi$	species	SBO	SBO:0000299			metabolite
						
^H(\d)+__nadp$	species	RDF	CHEBI%3A58349	BQB_IS	obo.chebi	
^H(\d)+__nadp$	species	RDF	C00006	BQB_IS	kegg.compound	
^H(\d)+__nadp$	species	RDF	SBO:0000299	BQB_IS	biomodels.sbo	metabolite
^H(\d)+__nadp$	species	SBO	SBO:0000299			metabolite
						
^H(\d)+__nadph$	species	RDF	CHEBI%3A57783	BQB_IS	obo.chebi	
^H(\d)+__nadph$	species	RDF	C00005	BQB_IS	kegg.compound	
^H(\d)+__nadph$	species	RDF	SBO:0000299	BQB_IS	biomodels.sbo	metabolite
^H(\d)+__nadph$	species	SBO	SBO:0000299			metabolite
						
^[HSD](\d)+__suc$ 	species	RDF	CHEBI%3A17992	BQB_IS	obo.chebi	
^[HSD](\d)+__suc$ 	species	RDF	C00089	BQB_IS	kegg.compound	
^[HSD](\d)+__suc$ 	species	RDF	SBO:0000299	BQB_IS	biomodels.sbo	metabolite
^[HSD](\d)+__suc$ 	species	SBO	SBO:0000299			metabolite
						
^[HSD](\d)+__h2oM$ 	species	RDF	CHEBI%3A15377	BQB_IS	obo.chebi	
^[HSD](\d)+__h2oM$ 	species	RDF	C00001	BQB_IS	kegg.compound	
^[HSD](\d)+__h2oM$ 	species	RDF	SBO:0000299	BQB_IS	biomodels.sbo	metabolite
^[HSD](\d)+__h2oM$ 	species	SBO	SBO:0000299			metabolite
						
^[HSD](\d)+__rbcM$ 	species	RDF	000424	BQB_IS	obo.bto	
						
^[HSD](\d)+__alb$ 	species	RDF	000003918	BQB_IS	obo.pr	
^[HSD](\d)+__alb$ 	species	RDF	SBO:0000299	BQB_IS	biomodels.sbo	metabolite
^[HSD](\d)+__alb$ 	species	SBO	SBO:0000299			metabolite
						
						
						
^EDEF_0[1-8]$	event	RDF	230200	BQB_HAS_PROPERTY	omim	Galactokinase deficiency
						
(^EDEF_0[9]$)|(^EDEF_1[0-4]$)	event	RDF	230400	BQB_HAS_PROPERTY	omim	GALT deficiency
						
(^EDEF_1[5-9]$)|(^EDEF_2[0-3]$)	event	RDF	230350	BQB_HAS_PROPERTY	omim	Galactose epimerase deficiency
